Severity,Date/Time,Latitude,Longitude,City,State,Number,Street,Description
2,2020-01-09 05:31:28,41.6717,-107.9869,Wamsutter,WY,,I-80 E,At CR-423/Wamsutter-Crooks/Exit 173 - Accident.
2,2018-05-03 08:59:39,43.4738,-110.7886,Jackson,WY,,State Highway 22,Between US-189/W Broadway and Idaho/Wyoming - Accident. Rockfalls. Lane blocked.
4,2019-11-06 14:01:46,43.6177,-105.7859,Gillette,WY,4899, State Highway 50,Closed between WY-387/Archibald Rd/Pine Tree Rd and Clarkelen Rd - Road closed due to accident.
3,2020-08-04 06:01:19,41.6134,-109.1246,Rock Springs,WY,,I-80 E,Entry ramp to I-80 Eastbound from WY-370 Southbound closed due to accident.
4,2018-06-11 17:35:19,41.2762,-110.8014,Evanston,WY,,Divide Rd,Main roadway closed due to accident on I-80 Eastbound at Exit 13 Divide Rd. Traffic getting by on the shoulder.
2,2018-04-06 02:00:35,44.5388,-109.0704,Cody,WY,118,Belfry Hwy,Lane blocked due to accident on WY-120 Belfry Hwy near County Hwy-2AB.
3,2020-03-02 19:06:54,41.0347,-104.8972,Cheyenne,WY,,I-25 N,Left lane blocked due to accident on I-25 Northbound after WY-223 I-25 Service Rd.
4,2016-09-23 01:52:59,44.7773,-106.9369,Sheridan,WY,,US-87 S,Closed between I-90-BL/US-14/Exit 25 and Piney Creek Road/Exit 44 - Road closed due to accident.
4,2018-11-25 16:19:42,41.6398,-108.4849,Wamsutter,WY,,US-30 E,Closed between Patrick Draw Road/Exit 146 and CR-423/Wamsutter-Crooks/Exit 173 - Road closed due to accident.
3,2019-01-10 09:01:24,43.6524,-105.4686,Gillette,WY,,State Highway 59 S,At Edwards Rd - Accident. Blocked ahead.
2,2019-04-11 12:38:40,41.0949,-104.8505,Cheyenne,WY,,I-25 S,At I-25 - Accident. Left lane blocked.
4,2017-11-20 15:38:45,40.999,-104.9066,Cheyenne,WY,,US-87 N,Closed between Wyoming/Colorado State Line and I-25-BL/College Drive/Exit 7 - Road closed due to accident.
4,2018-02-15 07:25:49,41.6314,-106.2794,Hanna,WY,,I-80 W,Closed between Wagonhound Road/Exit 267 and WY-72/Exit 255 - Road closed due to accident.
2,2017-04-03 16:46:31,41.1388,-104.698,Cheyenne,WY,,I-80 W,At Campstool Road/Exit 367 - Accident.
4,2016-07-22 10:51:37,43.5747,-108.2117,Thermopolis,WY,,US Highway 20 N,Closed at US-26/W 2nd St - Road closed due to accident.
4,2018-01-07 16:42:40,41.7414,-106.8371,Hanna,WY,,US-30 E,Closed between US-30/US-287/WY-130/Exit 235 and Peterson Rd/Exit 238 - Road closed due to accident.
3,2018-04-03 11:17:39,43.4962,-106.4491,Kaycee,WY,,US-87 N,At Tisdale Mountain Rd/Exit 235 - Accident. Right lane blocked.
3,2017-12-05 05:36:17,41.158,-105.403,Laramie,WY,,I-80 W,Left lane blocked due to accident on I-80 Westbound before Exit 329 Vedauwoo Glen Rd.
2,2017-10-11 12:42:41,41.1602,-104.7839,Cheyenne,WY,2367,Dell Range Blvd,Accident on Dell Range Blvd Eastbound at Converse Ave.
2,2018-11-27 01:09:19,41.1456,-104.761,Cheyenne,WY,4000,E Pershing Blvd,Lane blocked due to accident on WY-212 College Dr both ways from Greenway St to Pershing Blvd. No recent updates.
