State,Severity,Year,Month,Day,Counter
AL,2,2019,April,08,24
AL,2,2019,April,09,26
AL,2,2019,April,10,38
AL,2,2019,April,11,22
AL,2,2019,April,12,40
AL,2,2019,April,13,9
AL,2,2019,April,14,5
AL,2,2019,April,15,20
AL,2,2019,April,16,18
AL,2,2019,April,17,41
AL,2,2019,April,18,27
AL,2,2019,April,19,18
AL,2,2019,April,20,4
AL,2,2019,April,21,4
AL,2,2019,April,22,18
AL,2,2019,April,23,23
AL,2,2019,April,24,25
AL,2,2019,April,25,28
AL,2,2019,April,26,34
AL,2,2019,April,27,7
AL,2,2019,April,28,12
AL,2,2019,April,29,24
AL,2,2019,April,30,28
AL,2,2019,August,01,13
AL,2,2019,August,02,15
AL,2,2019,August,04,13
AL,2,2019,August,05,22
AL,2,2019,August,06,29
AL,2,2019,August,07,16
AL,2,2019,August,08,12
AL,2,2019,August,09,19
AL,2,2019,August,10,3
AL,2,2019,August,11,7
AL,2,2019,August,12,12
AL,2,2019,August,13,11
AL,2,2019,August,14,29
AL,2,2019,August,15,24
AL,2,2019,August,16,38
AL,2,2019,August,17,8
AL,2,2019,August,18,10
AL,2,2019,August,19,24
AL,2,2019,August,20,19
AL,2,2019,August,21,24
AL,2,2019,August,22,18
AL,2,2019,August,23,30
AL,2,2019,August,25,2
AL,2,2019,August,26,32
AL,2,2019,August,27,17
AL,2,2019,August,28,11
AL,2,2019,August,29,18
AL,2,2019,August,30,28
AL,2,2019,August,31,9
AL,2,2019,December,01,6
AL,2,2019,December,02,24
AL,2,2019,December,03,28
AL,2,2019,December,04,48
AL,2,2019,December,05,32
AL,2,2019,December,06,58
AL,2,2019,December,07,15
AL,2,2019,December,08,6
AL,2,2019,December,09,16
AL,2,2019,December,10,24
AL,2,2019,December,11,37
AL,2,2019,December,12,24
AL,2,2019,December,13,24
AL,2,2019,December,14,4
AL,2,2019,December,15,2
AL,2,2019,December,16,27
AL,2,2019,December,17,28
AL,2,2019,December,18,19
AL,2,2019,December,19,28
AL,2,2019,December,20,32
AL,2,2019,December,21,7
AL,2,2019,December,22,5
AL,2,2019,December,23,41
AL,2,2019,December,24,14
AL,2,2019,December,25,3
AL,2,2019,December,26,10
AL,2,2019,December,27,16
AL,2,2019,December,28,3
AL,2,2019,December,29,4
AL,2,2019,December,30,21
AL,2,2019,December,31,17
AL,2,2019,February,01,41
AL,2,2019,February,02,2
AL,2,2019,February,03,8
AL,2,2019,February,04,45
AL,2,2019,February,05,31
AL,2,2019,February,06,34
AL,2,2019,February,07,21
AL,2,2019,February,08,27
AL,2,2019,February,09,4
AL,2,2019,February,10,2
AL,2,2019,February,11,40
AL,2,2019,February,12,31
AL,2,2019,February,13,20
AL,2,2019,February,14,29
AL,2,2019,February,15,43
AL,2,2019,February,16,9
AL,2,2019,February,17,7
AL,2,2019,February,18,19
AL,2,2019,February,19,20
AL,2,2019,February,20,23
AL,2,2019,February,21,18
AL,2,2019,February,22,29
AL,2,2019,February,23,6
AL,2,2019,February,24,2
AL,2,2019,February,25,18
AL,2,2019,February,26,31
AL,2,2019,February,27,25
AL,2,2019,February,28,38
AL,2,2019,January,01,3
AL,2,2019,January,02,14
AL,2,2019,January,03,26
AL,2,2019,January,04,33
AL,2,2019,January,05,4
AL,2,2019,January,06,9
AL,2,2019,January,07,38
AL,2,2019,January,08,24
AL,2,2019,January,09,31
AL,2,2019,January,10,28
AL,2,2019,January,11,22
AL,2,2019,January,12,2
AL,2,2019,January,14,7
AL,2,2019,January,15,16
AL,2,2019,January,16,32
AL,2,2019,January,17,32
AL,2,2019,January,18,18
AL,2,2019,January,19,8
AL,2,2019,January,21,21
AL,2,2019,January,22,24
AL,2,2019,January,23,53
AL,2,2019,January,24,35
AL,2,2019,January,25,23
